SITE_ID,VISIT_NO,DATE_COL,E_I,RT
NLA06608-0001,1,7/31/07,0.103,0.77
NLA06608-0002,1,6/14/07,0.366,0.26
NLA06608-0003,1,8/29/07,0.204,0.17
NLA06608-0004,1,7/10/07,0.285,1.05
NLA06608-0005,1,7/18/07,0.082,0.48
NLA06608-0006,1,7/17/07,0.002,0.16
NLA06608-0007,1,7/24/07,0.422,5.82
NLA06608-0008,1,7/12/07,0.392,0.79
NLA06608-0010,1,7/17/07,0.262,1.69
NLA06608-0012,1,6/13/07,0.059,0.07
NLA06608-0013,1,9/4/07,0.001,0
NLA06608-0014,1,8/6/07,0.768,0.93
NLA06608-0015,1,7/10/07,0.147,0.21
NLA06608-0016,1,6/27/07,0.474,1.58
NLA06608-0019,1,6/11/07,0.356,0.19
NLA06608-0020,1,6/11/07,0.046,0.14
NLA06608-0021,1,7/27/07,0.072,2.88
NLA06608-0023,1,8/9/07,0.026,0.08
NLA06608-0024,1,7/11/07,0.209,0.7
NLA06608-0025,1,6/18/07,0.176,0.42
NLA06608-0029,1,7/2/07,0.101,0.06
NLA06608-0031,1,6/13/07,0.035,0.06
NLA06608-0033,1,7/17/07,0.116,0.15
NLA06608-0036,1,7/12/07,0.199,0.4
NLA06608-0037,1,7/13/07,0.009,0.18
NLA06608-0038,1,7/12/07,0.197,1.61
NLA06608-0041,1,6/12/07,0.098,1.47
NLA06608-0042,1,6/22/07,0.049,0.64
NLA06608-0043,1,7/31/07,0.25,1.98
NLA06608-0044,1,7/18/07,0.444,0.4
NLA06608-0045,1,6/26/07,0.058,0.04
NLA06608-0048,1,8/2/07,0.5,0.56
NLA06608-0049,1,8/15/07,0.038,0.12
NLA06608-0050,1,7/2/07,0.049,0.19
NLA06608-0053,1,8/23/07,0.049,0.11
NLA06608-0057,1,6/16/07,0.2,0.23
NLA06608-0061,1,6/12/07,0.269,1.11
NLA06608-0062,1,8/9/07,0.771,1.28
NLA06608-0064,1,6/18/07,0.471,0.9
NLA06608-0065,1,7/17/07,0.078,0.72
NLA06608-0066,1,6/12/07,0.038,0.31
NLA06608-0068,1,7/9/07,0.027,0.57
NLA06608-0069,1,7/18/07,0.339,0.39
NLA06608-0071,1,9/6/07,0.583,0.9
NLA06608-0072,1,7/26/07,0.151,0.29
NLA06608-0073,1,6/12/07,0.676,146.95
NLA06608-0076,1,7/27/07,0.418,1.04
NLA06608-0077,1,9/8/07,0.343,0.35
NLA06608-0078,1,8/8/07,0.922,0.61
NLA06608-0079,1,7/12/07,0.028,1.22
NLA06608-0080,1,9/9/07,0.296,0.26
NLA06608-0081,1,7/3/07,0.164,0.65
NLA06608-0083,1,6/13/07,0.591,0.54
NLA06608-0085,1,7/10/07,0.502,0.5
NLA06608-0086,1,8/2/07,0.037,0.29
NLA06608-0089,1,6/17/07,0.045,0.19
NLA06608-0090,1,6/26/07,0.122,0.88
NLA06608-0091,1,7/10/07,0.035,0.16
NLA06608-0099,1,7/3/07,0.162,1.59
NLA06608-0101,1,8/21/07,0.136,0.78
NLA06608-0102,1,8/3/07,0.04,0.94
NLA06608-0104,1,6/22/07,0.252,0.22
NLA06608-0105,1,7/5/07,0.177,0.6
NLA06608-0107,1,6/25/07,0.33,0.72
NLA06608-0110,1,7/31/07,0.53,3.42
NLA06608-0111,1,8/1/07,0.073,0.32
NLA06608-0112,1,7/9/07,0.064,0.17
NLA06608-0113,1,7/16/07,0,0.15
NLA06608-0115,1,7/18/07,0.015,2.84
NLA06608-0116,1,6/28/07,0.116,1.09
NLA06608-0120,1,6/18/07,0.052,0.3
NLA06608-0124,1,7/19/07,0.904,0.52
NLA06608-0126,1,6/21/07,0.602,0.95
NLA06608-0127,1,7/11/07,0.507,1.55
NLA06608-0128,1,6/21/07,0.114,0.1
NLA06608-0129,1,7/21/07,0.297,12.82
NLA06608-0130,1,8/13/07,0.15,0.43
NLA06608-0132,1,8/28/07,0.247,0.84
NLA06608-0134,1,7/24/07,0.18,2.35
NLA06608-0137,1,9/17/07,0.011,0.33
NLA06608-0139,1,7/11/07,0.064,0.22
NLA06608-0140,1,6/20/07,0.305,0.2
NLA06608-0141,1,8/23/07,0.085,0.05
NLA06608-0142,1,8/13/07,0.26,2.49
NLA06608-0144,1,8/2/07,0.286,1.05
NLA06608-0148,1,7/26/07,0.095,0.23
NLA06608-0149,1,7/18/07,0.178,1.11
NLA06608-0150,1,8/2/07,0.04,0.36
NLA06608-0152,1,7/17/07,0.348,0.98
NLA06608-0153,1,8/30/07,0.092,0.13
NLA06608-0155,1,7/31/07,0.139,0.67
NLA06608-0158,1,9/5/07,0.558,2.73
NLA06608-0161,1,8/15/07,0.411,0.4
NLA06608-0162,1,8/28/07,0.193,0.26
NLA06608-0167,1,7/23/07,0.738,0.5
NLA06608-0168,1,6/13/07,0.173,0.3
NLA06608-0169,1,7/5/07,0.091,0.63
NLA06608-0170,1,9/21/07,0.312,0.68
NLA06608-0173,1,7/11/07,0.599,1.36
NLA06608-0174,1,7/25/07,0.551,5.38
NLA06608-0175,1,8/30/07,0.129,0.33
NLA06608-0176,1,9/7/07,0.182,0.13
NLA06608-0177,1,8/22/07,0.013,1.4
